No;HW1;HW2;HW3;HW4;HW5;HW6;LQ 1;LQ 2;LQ 3
150119913;;;;;;;;;
150121018;100;95;35;100;100;;;100;100
150122066;95;95;90;100;100;100;100;100;100
150121067;100;0;10;35;50;45;100;20;60
150121070;100;100;100;100;;;100;100;100
150119747;95;80;80;40;;45;95;;
150121881;95;0;95;85;100;45;;20;40
150121922;100;100;100;80;100;100;100;100;100
150119684;65;25;15;;;;;;
150121006;100;100;100;100;100;45;85;100;100
150121028;100;100;100;100;100;;90;55;100
150119697;;20;10;100;;40;100;65;60
150122046;100;75;100;100;100;100;95;100;100
150121053;100;;;;;;;100;
150121024;100;100;90;100;40;100;100;55;100
150121035;100;0;100;100;100;95;70;100;60
150121016;100;0;100;100;100;100;60;100;100
150122075;95;100;100;100;100;100;100;100;100
150119564;95;0;;;;;;;
150120005;100;100;100;40;;100;100;;
150121040;100;100;100;100;;45;100;100;80
150122020;100;100;100;100;100;100;100;90;
150122016;100;100;100;100;100;100;100;100;100
150122827;100;100;100;100;100;100;100;100;100
150119797;;;;;;;;;
150121038;55;40;80;100;60;100;60;40;75
150121026;95;85;100;;60;45;50;20;10
150122009;100;100;100;100;100;100;100;100;100
150119518;;;;;;;;;
150121034;95;55;45;60;60;;100;100;20
150122826;100;100;100;100;100;100;100;100;100
150122048;100;100;45;100;100;;100;100;100
150122509;100;100;100;100;100;55;100;100;100
150121054;100;100;100;100;100;100;100;100;100
150119867;;;;;;;;;
150121037;100;100;100;100;100;100;100;100;100
150121001;95;100;100;100;60;45;95;100;10
150118003;;;;;;;;;
150122539;100;100;90;100;100;100;100;50;
150121074;100;100;90;;60;;100;;100
150121007;100;100;100;100;100;;95;100;85
150121022;100;100;100;100;100;95;100;100;100
150121050;95;40;100;100;100;55;100;100;100
150121011;100;100;;35;100;;100;100;100
150122031;100;100;90;;;;100;40;
150121521;100;0;100;100;100;100;100;100;100
150122511;100;0;100;100;100;75;100;100;
150122841;;;30;;;;;;
150122062;100;100;90;;;;100;100;
150122507;100;100;100;65;100;;95;100;100
150119013;;;;;;;;;
150120024;100;100;100;100;;55;100;100;100
150121005;100;;100;;;;100;100;100
150121015;100;100;100;100;80;100;100;100;100
150121017;100;100;100;100;100;100;100;100;75
150122056;100;0;100;100;100;100;100;100;75
150119509;100;100;100;;;;100;;65
150122073;100;100;90;80;100;55;100;100;50
150121056;100;100;90;85;100;100;100;100;
150122995;100;85;100;95;70;;100;90;60
150116026;;;;;;;;;
150120057;;;70;;;;;40;
150119817;100;100;90;100;100;;50;20;
150121061;;;;;;;;;
150121924;100;100;100;100;100;55;100;55;100
150119753;100;;;;;;;;
150119946;;;30;;;;;;
150121060;100;100;45;100;;100;100;100;100
150120030;100;100;100;;;;;;
150121059;95;100;90;80;100;80;100;65;100
150121047;100;100;100;35;100;100;100;90;30
150122006;100;95;90;100;100;100;100;85;100
150121010;100;100;40;25;;;100;55;
150719029;100;100;100;100;100;100;65;100;100
150121072;100;0;100;100;60;100;100;100;100
150121052;100;95;90;65;100;;100;100;100
150119719;100;35;35;;;55;;;
150121027;95;100;100;100;100;100;100;100;
150119854;;;;;;;;;
150121008;100;100;100;100;100;100;100;100;100
150122992;100;100;100;100;100;100;100;100;100
150122058;100;100;100;50;60;45;100;100;85
150122074;;;;;;;;;
150122011;100;15;45;100;100;;80;40;55
150119064;100;;100;50;100;35;100;;
150120036;100;100;90;;;;100;;
150119709;100;60;;;;;;;
150121041;100;100;100;100;100;100;;100;70
150121031;100;100;100;100;100;100;100;100;100
150116833;;;;;;55;;;
150119775;100;0;100;55;40;;50;50;15
150122052;100;85;100;100;100;100;100;100;100
150121075;100;100;100;55;;;35;50;60
150119691;100;;20;50;;;100;60;
150122531;100;100;100;100;100;100;100;100;90
150121044;100;100;100;100;100;100;100;100;90
150121046;100;100;100;65;100;40;100;100;100
150121012;100;100;100;100;100;100;100;100;90
150122608;95;100;100;85;100;;80;100;60
150121033;;;;;100;55;100;20;20
150119741;95;90;80;;100;55;60;;
150122024;100;100;100;80;100;100;100;100;80
150121535;100;100;90;;;100;100;;
150121063;95;100;100;100;100;100;100;90;65
150121048;95;85;20;;;;100;20;25
150122515;100;95;100;;;;95;100;10
150121064;100;100;100;35;100;;;100;95
150116080;;;;;;;;;
150122022;95;100;90;100;100;55;100;100;100
150119062;100;;20;;;;;;
150120995;100;100;100;100;100;40;100;50;100
150119540;;;;;;;;;
150119862;80;0;50;85;40;45;;;
150121039;95;95;100;35;40;;100;100;
150119666;;;;;;;;;
150122019;100;100;100;100;100;100;100;100;100
150120064;100;;;;;;100;;75
150120037;100;100;100;;;;100;;
150122045;;75;100;25;;100;80;55;80
150121065;100;100;100;85;;;35;50;10
150120992;100;100;100;100;100;100;;;
150121003;100;100;45;;;40;100;100;65
150117020;;100;;;;;;;
150121923;100;0;30;;;30;60;;
150121023;100;100;100;100;100;100;100;100;100
150119705;100;95;100;35;50;;;25;70
150121062;100;100;100;50;50;;100;;50
150121852;100;35;100;10;;;50;50;65
150120942;100;80;60;100;40;55;;;
150121066;100;100;100;100;100;75;100;100;100
150121014;95;90;60;;;;100;75;
150121851;;;;;;;;;
150121045;100;100;90;100;30;35;50;100;55
150122063;95;95;90;100;100;;;100;100
150122529;95;100;100;50;100;90;50;50;50
150121042;100;100;100;100;100;55;100;100;100
150122852;100;60;;50;100;55;100;50;100
