No;HW1;HW2;HW3;HW4;HW5;HW6;LQ1;LQ2;LQ3;Quiz1;Quiz2;Midterm
150119913;;;;;;;;;;0;0;58
150121018;100;95;35;100;100;;;100;100;66;55;56
150122066;95;95;90;100;100;100;100;100;100;86;65;89
150121067;100;0;10;35;50;45;100;20;60;75;70;68
150121070;100;100;100;100;;;100;100;100;100;65;82
150119747;95;80;80;40;;45;95;;;83;45;67
150121881;95;0;95;85;100;45;;20;40;52;60;54
150121922;100;100;100;80;100;100;100;100;100;85;85;91
150119684;65;25;15;;;;;;;39;0;38
150121006;100;100;100;100;100;45;85;100;100;78;85;67
150121028;100;100;100;100;100;;90;55;100;69;50;78
150119697;;20;10;100;;40;100;65;60;54;50;40
150122046;100;75;100;100;100;100;95;100;100;85;65;80
150121053;100;;;;;;;100;;0;0;69
150121024;100;100;90;100;90;100;100;55;100;73;85;78
150121035;100;0;100;100;100;95;70;100;60;38;60;41
150121016;100;0;100;100;100;100;60;100;100;81;85;79
150122075;95;100;100;100;100;100;100;100;100;92;85;91
150119564;95;0;;;;;;;;30;0;34
150120005;100;100;100;40;;100;100;;;85;0;81
150121040;100;100;100;100;;45;100;100;80;61;65;54
150122020;100;100;100;100;100;100;100;90;;75;80;77
150122016;100;100;100;100;100;100;100;100;100;91;95;92
150122827;100;100;100;100;100;100;100;100;100;93;85;92
150119797;;;;;;;;;;0;0;31
150121038;55;40;80;100;60;100;60;40;75;46;65;47
150121026;95;85;100;;60;45;50;20;10;38;40;40
150122009;100;100;100;100;100;100;100;100;100;91;70;79
150119518;;;;;;;;;;0;0;0
150121034;95;55;45;60;60;;100;100;20;71;60;84
150122826;100;100;100;100;100;100;100;100;100;100;90;94
150122048;100;100;45;100;100;;100;100;100;86;75;84
150122509;100;100;100;100;100;55;100;100;100;87;70;83
150121054;100;100;100;100;100;100;100;100;100;78;60;87
150119867;;;;;;;;;;0;0;24
150121037;100;100;100;100;100;100;100;100;100;75;80;89
150121001;95;100;100;100;60;45;95;100;10;72;55;88
150118003;;;;;;;;;;0;0;67
150122539;100;100;90;100;100;100;100;50;;55;60;47
150121074;100;100;90;;60;;100;;100;78;65;73
150121007;100;100;100;100;100;;95;100;85;72;70;70
150121022;100;100;100;100;100;95;100;100;100;86;80;87
150121050;95;40;100;100;100;55;100;100;100;76;60;85
150121011;100;100;;35;100;;100;100;100;82;85;74
150122031;100;100;90;;;;100;40;;83;55;79
150121521;100;0;100;100;100;100;100;100;100;93;80;75
150122511;100;0;100;100;100;75;100;100;;70;55;56
150122841;;;30;;;;;;;0;0;31
150122062;100;100;90;;;;100;100;;79;55;68
150122507;100;100;100;65;100;;95;100;100;90;75;85
150119013;;;;;;;;;;0;0;49
150120024;100;100;100;100;;55;100;100;100;86;70;92
150121005;100;;100;;;;100;100;100;57;55;65
150121015;100;100;100;100;80;100;100;100;100;75;75;87
150121017;100;100;100;100;100;100;100;100;75;88;80;93
150122056;100;0;100;100;100;100;100;100;75;70;65;55
150119509;100;100;100;;;;100;;65;59;55;83
150122073;100;100;90;80;100;55;100;100;50;71;80;67
150121056;100;100;90;85;100;100;100;100;;81;60;77
150122995;100;85;100;95;70;;100;90;60;74;40;65
150116026;;;;;;;;;;0;0;0
150120057;;;70;;;;;40;;0;60;22
150119817;100;100;90;100;100;;50;20;;44;30;39
150121061;;;;;;;;;;77;0;78
150121924;100;100;100;100;100;55;100;55;100;80;75;60
150119753;100;;;;;;;;;0;45;35
150119946;;;30;;;;;;;35;0;28
150121060;100;100;45;100;;100;100;100;100;0;0;83
150120030;100;100;100;;;;;;;89;75;81
150121059;95;100;90;80;100;80;100;65;100;78;70;72
150121047;100;100;100;35;100;100;100;90;30;82;60;50
150122006;100;95;90;100;100;100;100;85;100;83;75;82
150121010;100;100;40;25;;;100;55;;66;80;67
150719029;100;100;100;100;100;100;65;100;100;80;75;84
150121072;100;0;100;100;60;100;100;100;100;90;60;74
150121052;100;95;90;65;100;;100;100;100;70;50;78
150119719;100;35;35;;;55;;;;0;0;41
150121027;95;100;100;100;100;100;100;100;;92;80;82
150119854;;;;;;;;;;0;0;0
150121008;100;100;100;100;100;100;100;100;100;86;80;90
150122992;100;100;100;100;100;100;100;100;100;80;90;82
150122058;100;100;100;50;60;45;100;100;85;91;70;85
150122074;;;;;;;;;;0;0;0
150122011;100;15;45;100;100;;80;40;55;69;65;56
150119064;100;;100;50;100;35;100;;;83;85;77
150120036;100;100;90;;;;100;;;0;0;55
150119709;100;60;;;;;;;;9;0;34
150121041;100;100;100;100;100;100;;100;70;92;60;82
150121031;100;100;100;100;100;100;100;100;100;90;90;82
150116833;;;;;;55;;;;0;0;33
150119775;100;0;100;55;40;;50;50;15;59;35;33
150122052;100;85;100;100;100;100;100;100;100;94;85;95
150121075;100;100;100;55;;;35;50;60;73;55;54
150119691;100;;20;50;;;100;60;;0;35;26
150122531;100;100;100;100;100;100;100;100;90;92;80;87
150121044;100;100;100;100;100;100;100;100;90;86;70;75
150121046;100;100;100;65;100;90;100;100;100;97;90;85
150121012;100;100;100;100;100;100;100;100;90;90;70;89
150122608;95;100;100;85;100;;80;100;60;32;40;52
150121033;;;;;100;55;100;20;20;43;45;29
150119741;95;90;80;;100;55;60;;;63;45;41
150122024;100;100;100;80;100;100;100;100;80;98;85;91
150121535;100;100;90;;;100;100;;;48;60;48
150121063;95;100;100;100;100;100;100;90;65;75;85;83
150121048;95;85;20;;;;100;20;25;74;50;52
150122515;100;95;100;;;;95;100;10;73;70;56
150121064;100;100;100;35;100;;;100;95;81;60;93
150116080;;;;;;;;;;0;0;0
150122022;95;100;90;100;100;55;100;100;100;79;85;91
150119062;100;;20;;;;;;;81;0;0
150120995;100;100;100;100;100;40;100;50;100;64;65;74
150119540;;;;;;;;;;26;0;11
150119862;80;0;50;85;40;45;;;;41;0;32
150121039;95;95;100;35;40;;100;100;;69;70;70
150119666;;;;;;;;;;0;0;3
150122019;100;100;100;100;100;100;100;100;100;100;95;93
150120064;100;;;;;;100;;75;80;0;66
150120037;100;100;100;;;;100;;;82;0;77
150122045;;75;100;25;;100;80;55;80;77;75;71
150121065;100;100;100;85;;;35;50;10;55;60;58
150120992;100;100;100;100;100;100;;;;76;65;73
150121003;100;100;45;;;40;100;100;65;87;70;85
150117020;;100;;;;;;;;0;0;55
150121923;100;0;30;;;30;60;;;0;25;18
150121023;100;100;100;100;100;100;100;100;100;89;80;95
150119705;100;95;100;35;50;;;25;70;57;50;41
150121062;100;100;100;50;50;;100;;50;84;60;81
150121852;100;35;100;10;;;50;50;65;49;45;55
150120942;100;80;60;100;40;55;;;;74;50;57
150121066;100;100;100;100;100;75;100;100;100;84;75;89
150121014;95;90;60;;;;100;75;;86;100;74
150121851;;;;;;;;;;0;0;0
150121045;100;100;90;100;30;35;50;100;55;40;50;55
150122063;95;95;90;100;100;;;100;100;75;75;77
150122529;95;100;100;50;100;90;50;50;50;71;60;58
150121042;100;100;100;100;100;55;100;100;100;91;70;78
150122852;100;60;;50;100;55;100;50;100;68;65;36
